y,x,osmid,ref,highway,geometry
52.488533,13.6028658,31532843,,,POINT (13.6028658 52.488533)
52.4887288,13.6017696,31532844,,,POINT (13.6017696 52.4887288)
52.4891789,13.599188,31532845,,,POINT (13.599188 52.4891789)
52.4896596,13.5963038,31532846,,,POINT (13.5963038 52.4896596)
52.4896599,13.5960953,31532847,,,POINT (13.5960953 52.4896599)
52.4895343,13.5909737,31532850,,,POINT (13.5909737 52.4895343)
52.4867774,13.5887837,31532851,,,POINT (13.5887837 52.4867774)
52.4887335,13.5767699,31532858,,,POINT (13.5767699 52.4887335)
52.4883732,13.5782333,31532859,,,POINT (13.5782333 52.4883732)
52.4875088,13.5803866,31532860,,,POINT (13.5803866 52.4875088)
52.4860225,13.5840748,31532862,,,POINT (13.5840748 52.4860225)
