u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,width,tunnel,bridge,access,junction,ref,service
89340048,89340050,0,10436224,False,Miller,residential,30,78.947,"LINESTRING (-58.4820606 -34.5698312, -58.4825652 -34.5692555)",,,,,,,,
89340050,89340048,0,10436224,False,Miller,residential,30,78.947,"LINESTRING (-58.4825652 -34.5692555, -58.4820606 -34.5698312)",,,,,,,,
89340050,89340051,0,"[86784061, 39094942]",True,Miller,residential,30,853.946,"LINESTRING (-58.4825652 -34.5692555, -58.4834154 -34.568296, -58.4842394 -34.5673597, -58.4846711 -34.5668745, -58.4854614 -34.5659791, -58.4863772 -34.5650018, -58.4873318 -34.5639802, -58.4881483 -34.5631049)",,,,,,,,
89340051,89211326,0,"[515979585, 82692945, 82692970, 82811102]",True,Manuela Pedraza,residential,"['20', '30']",574.445,"LINESTRING (-58.4881483 -34.5631049, -58.4871789 -34.5626371, -58.4862148 -34.5621814, -58.4852857 -34.5617337, -58.4843444 -34.5613327, -58.4842046 -34.5612721, -58.4833841 -34.5608834, -58.4827113 -34.5605312)",1,,,,,,,
89340051,89347826,0,569754502,True,Miller,residential,30,347.39,"LINESTRING (-58.4881483 -34.5631049, -58.48908 -34.561751, -58.4900254 -34.56039)",,,,,,,,
89347826,89338847,0,535259670,True,Avenida Crisólogo Larralde,tertiary,20,87.346,"LINESTRING (-58.4900254 -34.56039, -58.4908361 -34.5608039)",2,,,,,,,
89347826,2939838914,0,305068571,True,Miller,residential,30,719.226,"LINESTRING (-58.4900254 -34.56039, -58.4907702 -34.5593218, -58.4912699 -34.5585832, -58.4913189 -34.5585145, -58.4918548 -34.5577587, -58.4924061 -34.5569854, -58.4927983 -34.5564146, -58.4929347 -34.5562098, -58.4931722 -34.555849, -58.4932645 -34.555714, -58.4934324 -34.5554573, -58.4935936 -34.5552086, -58.4938786 -34.5548129, -58.493909 -34.5547686)",,,,,,,,
89351872,96131174,0,569668771,True,Estado Plurinacional de Bolivia,residential,40,301.404,"LINESTRING (-58.4954313 -34.587878, -58.4960895 -34.5871477, -58.4967173 -34.5864537, -58.4973968 -34.5857034)",,,,,,,,
89351914,89351889,0,86967656,True,Estado Plurinacional de Bolivia,residential,40,101.608,"LINESTRING (-58.4941299 -34.5893126, -58.494793 -34.5885798)",,,,,,,,
89351914,96131172,0,22697228,True,Nueva York,residential,40,259.13800000000003,"LINESTRING (-58.4941299 -34.5893126, -58.494674 -34.5896494, -58.4952446 -34.5900025, -58.4963945 -34.590711)",,,,,,,,
89354489,104324994,0,48114519,True,Doctor Emilio Ravignani,residential,30,83.073,"LINESTRING (-58.4356116 -34.5784525, -58.4349759 -34.5779194)",,,,,,,,
