u,v,key,osmid,oneway,lanes,name,highway,maxspeed,length,geometry,service,access
2194538398,2194538387,0,69256656,False,,,service,5 mph,11.211,"LINESTRING (-83.0620316 42.3563343, -83.06215 42.3562842)",parking_aisle,
2194538404,4677155622,0,209224494,False,,,service,5 mph,8.444,"LINESTRING (-83.06224640000001 42.3564079, -83.0621951 42.3563421)",parking_aisle,
2364550752,2364547683,0,227815419,True,,,service,5 mph,41.955,"LINESTRING (-83.218887 42.3309096, -83.2184637 42.3306988)",,
2364550752,2364550754,0,228389509,False,,,service,5 mph,7.194,"LINESTRING (-83.218887 42.3309096, -83.2189412 42.3309604)",,
2364550754,2626736320,0,228389509,False,,,service,5 mph,57.155,"LINESTRING (-83.2189412 42.3309604, -83.2189451 42.3314744)",,
2364550754,2364550752,0,228389509,False,,,service,5 mph,7.194,"LINESTRING (-83.2189412 42.3309604, -83.218887 42.3309096)",,
2364550755,2364550752,0,256796180,True,,,service,5 mph,16.478,"LINESTRING (-83.2186866 42.3309062, -83.218887 42.3309096)",,
2364550757,2364800678,0,227841170,False,,,service,5 mph,0.221,"LINESTRING (-83.2189498 42.3320902, -83.21895139999999 42.3320886)",driveway,
2364550757,2626736320,0,228389509,False,,,service,5 mph,68.475,"LINESTRING (-83.2189498 42.3320902, -83.2189451 42.3314744)",,
2364800678,2364550757,0,227841170,False,,,service,5 mph,0.221,"LINESTRING (-83.21895139999999 42.3320886, -83.2189498 42.3320902)",driveway,
2364800678,2364800684,0,227841170,False,,,service,5 mph,74.412,"LINESTRING (-83.21895139999999 42.3320886, -83.21985650000001 42.332077)",driveway,
2364800680,2364800684,0,227841170,False,,,service,5 mph,67.262,"LINESTRING (-83.2198542 42.3314721, -83.21985650000001 42.332077)",driveway,
2364800680,2626736320,0,227841170,False,,,service,5 mph,74.73,"LINESTRING (-83.2198542 42.3314721, -83.2189451 42.3314744)",driveway,
2364800684,2364800678,0,227841170,False,,,service,5 mph,74.412,"LINESTRING (-83.21985650000001 42.332077, -83.21895139999999 42.3320886)",driveway,
