u,v,key,osmid,oneway,lanes,name,highway,maxspeed,length,geometry,bridge,service,width,access,tunnel,ref,junction,area
302146298,301492413,0,745586899,False,,,path,,15.228,"LINESTRING (12.582719 41.8516494, 12.5829024 41.851659)",,,,,,,,
302146298,6969936318,0,745586899,False,,,path,,4.087,"LINESTRING (12.582719 41.8516494, 12.582673 41.8516361)",,,,,,,,
303988214,299615621,0,25694082,False,2,,path,,9.093,"LINESTRING (12.4780302 41.9186833, 12.4779203 41.9186832)",,,,,,,,
303988214,299615617,0,25694082,False,2,,path,,11.934,"LINESTRING (12.4780302 41.9186833, 12.478171 41.91866)",,,,,,,,
308430185,2429953653,0,234871280,False,,,pedestrian,,6.559,"LINESTRING (12.6739508 41.8976194, 12.6739976 41.8975718)",,,,,,,,
308430185,5489558136,0,234871286,False,,,path,,4.908,"LINESTRING (12.6739508 41.8976194, 12.6738958 41.8976359)",,,,,,,,
308711492,2200329986,0,209876768,False,,,path,,126.149,"LINESTRING (12.6272582 41.8823543, 12.6287137 41.8820185)",,,,,,,,
308711492,2200329996,0,209876768,False,,,path,,2.588,"LINESTRING (12.6272582 41.8823543, 12.6272725 41.882375)",,,,,,,,
308711537,2200330010,0,209876768,False,,,path,,8.632,"LINESTRING (12.627457 41.8826933, 12.6274834 41.8826182)",,,,,,,,
308711602,2200329976,0,209876771,False,,,path,,10.738,"LINESTRING (12.6314292 41.8805944, 12.6314769 41.8806842)",,,,,,,,
308711697,2200329943,0,209876761,False,,Via di Tor Angela Vecchia,path,,44.533,"LINESTRING (12.6264502 41.8788452, 12.6261059 41.8785375)",,,,,,,,
308711697,1120844502,0,209876761,False,,Via di Tor Angela Vecchia,path,,203.652,"LINESTRING (12.6264502 41.8788452, 12.6276166 41.8804577)",,,,,,,,
308711698,2200329941,0,209876761,False,,Via di Tor Angela Vecchia,path,,9.291,"LINESTRING (12.6257891 41.878238, 12.6257208 41.8781717)",,,,,,,,
308711698,2200329942,0,209876761,False,,Via di Tor Angela Vecchia,path,,20.407,"LINESTRING (12.6257891 41.878238, 12.625933 41.878387)",,,,,,,,
309019411,2200329798,0,209876794,False,,,path,,16.796,"LINESTRING (12.632851 41.8745219, 12.6329288 41.8743824)",,,,,,,,
309019413,2200329794,0,209876788,False,,,path,,19.775,"LINESTRING (12.6318482 41.8740685, 12.631611 41.8740893)",,,,,,,,
309019474,2200329769,0,28135426,False,,,path,,5.766,"LINESTRING (12.6328957 41.8729389, 12.6328267 41.8729459)",,,,,,,,
309019474,309019475,0,209876786,False,,,path,,179.242,"LINESTRING (12.6328957 41.8729389, 12.6343618 41.8717529)",,,,,,,,
309019474,2200329772,0,209876786,False,,,path,,9.571,"LINESTRING (12.6328957 41.8729389, 12.6328589 41.8730205)",,,,,,,,
309019475,309019477,0,209876786,False,,,path,,40.703,"LINESTRING (12.6343618 41.8717529, 12.6347137 41.8714973)",,,,,,,,
309019475,309019474,0,209876786,False,,,path,,179.242,"LINESTRING (12.6343618 41.8717529, 12.6328957 41.8729389)",,,,,,,,
309019477,309019479,0,209876786,False,,,path,,38.83,"LINESTRING (12.6347137 41.8714973, 12.6350999 41.8712992)",,,,,,,,
309019477,309019475,0,209876786,False,,,path,,40.703,"LINESTRING (12.6347137 41.8714973, 12.6343618 41.8717529)",,,,,,,,
309019479,309019481,0,209876786,False,,,path,,79.152,"LINESTRING (12.6350999 41.8712992, 12.6357577 41.8707827)",,,,,,,,
309019479,309019477,0,209876786,False,,,path,,38.83,"LINESTRING (12.6350999 41.8712992, 12.6347137 41.8714973)",,,,,,,,
309019481,309019483,0,209876786,False,,,path,,155.569,"LINESTRING (12.6357577 41.8707827, 12.6370631 41.8697765)",,,,,,,,
309019481,309019479,0,209876786,False,,,path,,79.152,"LINESTRING (12.6357577 41.8707827, 12.6350999 41.8712992)",,,,,,,,
309019483,6969526097,0,209876786,False,,,path,,3.942,"LINESTRING (12.6370631 41.8697765, 12.6370746 41.8697421)",,,,,,,,
309019483,309019481,0,209876786,False,,,path,,155.569,"LINESTRING (12.6370631 41.8697765, 12.6357577 41.8707827)",,,,,,,,
