u,v,key,osmid,lanes,name,highway,maxspeed,oneway,length,geometry,service,ref,bridge,access,width,tunnel,junction,area
5569843663,6512135064,0,582499054,,,service,10,False,19.185,"LINESTRING (12.5237017 41.9027333, 12.5234785 41.9026867)",alley,,,,,,,
5569843665,5569843662,0,582365227,,,service,10,False,24.664,"LINESTRING (12.5237824 41.9029812, 12.5238848 41.9027729)",alley,,,,,,,
5569843666,5569843663,0,582365228,,,service,10,False,24.453,"LINESTRING (12.5236396 41.9029483, 12.5237017 41.9027333)",alley,,,,,,,
5569843668,2150891978,0,582499054,,,service,10,False,6.08,"LINESTRING (12.5228557 41.9026708, 12.5229291 41.9026684)",alley,,,,,,,
5569843668,2150891979,0,582499054,,,service,10,False,5.147,"LINESTRING (12.5228557 41.9026708, 12.5227948 41.9026802)",alley,,,,,,,
5569851162,5526123431,0,576059632,,,service,10,False,4.141,"LINESTRING (12.5262376 41.9065765, 12.5262166 41.9065427)",alley,,,,,,,
5569851162,5526123432,0,576059632,,,service,10,False,3.649,"LINESTRING (12.5262376 41.9065765, 12.5262413 41.9066092)",alley,,,,,,,
5569851163,5642682822,0,34362842,,,service,10,False,1.384,"LINESTRING (12.5260106 41.9065578, 12.5260039 41.9065692)",alley,,,,,,,
5569851163,394259846,0,34362842,,,service,10,False,2.117,"LINESTRING (12.5260106 41.9065578, 12.5260267 41.906543)",alley,,,,,,,
5569951872,1553168126,0,141901258,,,service,10,False,51.999,"LINESTRING (12.5285185 41.9060966, 12.5283684 41.9065507)",alley,,,,,,,
5569951872,2150892350,0,141901258,,,service,10,False,57.279,"LINESTRING (12.5285185 41.9060966, 12.5286934 41.9055982)",alley,,,,,,,
5569951872,5569951887,0,576456641,,,service,10,False,3.834,"LINESTRING (12.5285185 41.9060966, 12.5284736 41.9060881)",alley,,,,,,,
5569951873,5569951887,0,576456641,,,service,10,False,3.724,"LINESTRING (12.52843 41.9060798, 12.5284736 41.9060881)",alley,,,,,,,
5569951873,5569951876,0,576456641,,,service,10,False,3.604,"LINESTRING (12.52843 41.9060798, 12.5283878 41.9060718)",alley,,,,,,,
5569951876,5569951873,0,576456641,,,service,10,False,3.604,"LINESTRING (12.5283878 41.9060718, 12.52843 41.9060798)",alley,,,,,,,
5569951876,5528918633,0,576456641,,,service,10,False,3.639,"LINESTRING (12.5283878 41.9060718, 12.5283452 41.9060637)",alley,,,,,,,
5569951881,5574708329,0,34362853,,,service,10,False,3.824,"LINESTRING (12.528237 41.9065257, 12.5282817 41.9065344)",alley,,,,,,,
5569951881,2150892362,0,34362853,,,service,10,False,3.673,"LINESTRING (12.528237 41.9065257, 12.528194 41.9065175)",alley,,,,,,,
5569951882,1553168126,0,34362853,,,service,10,False,3.687,"LINESTRING (12.5283252 41.9065426, 12.5283684 41.9065507)",alley,,,,,,,
5569951882,5574708329,0,34362853,,,service,10,False,3.714,"LINESTRING (12.5283252 41.9065426, 12.5282817 41.9065344)",alley,,,,,,,
5569951887,5569951872,0,576456641,,,service,10,False,3.834,"LINESTRING (12.5284736 41.9060881, 12.5285185 41.9060966)",alley,,,,,,,
5569951887,5569951873,0,576456641,,,service,10,False,3.724,"LINESTRING (12.5284736 41.9060881, 12.52843 41.9060798)",alley,,,,,,,
5569951900,5600469581,0,34362853,,,service,10,False,29.055,"LINESTRING (12.5287508 41.9066222, 12.5284103 41.9065585)",alley,,,,,,,
5569951900,5891818172,0,582380714,,,service,10,False,5.944,"LINESTRING (12.5287508 41.9066222, 12.5288205 41.9066351)",alley,,,,,,,
5569951901,6208963075,0,582380723,,,service,10,False,25.374,"LINESTRING (12.5270115 41.9058035, 12.5270939 41.9055837)",alley,,,,,,,
5569951902,2150892341,0,582380723,,,service,10,False,33.411,"LINESTRING (12.5273082 41.905004, 12.5272001 41.9052935)",alley,,,,,,,
5569951902,1553168069,0,582380726,,,service,10,False,41.565,"LINESTRING (12.5273082 41.905004, 12.5274385 41.904643)",alley,,,,,,,
5570883711,5570883719,0,34362846,,,service,10,False,21.441,"LINESTRING (12.5274815 41.9063512, 12.5275498 41.9061652)",alley,,,,,,,
5570883711,5590523581,0,34362846,,,service,10,False,4.021,"LINESTRING (12.5274815 41.9063512, 12.5274693 41.9063862)",alley,,,,,,,
5570883719,5750109854,0,34362846,,,service,10,False,20.631,"LINESTRING (12.5275498 41.9061652, 12.5276144 41.905986)",alley,,,,,,,
5570883719,5570883711,0,34362846,,,service,10,False,21.441,"LINESTRING (12.5275498 41.9061652, 12.5274815 41.9063512)",alley,,,,,,,
5570883720,5590523591,0,591090643,,,service,10,False,14.691,"LINESTRING (12.5266085 41.9064255, 12.5264384 41.9063877)",alley,,,,,,,
