u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,access,lanes,service,tunnel,width
20930965,20930963,0,3993823,False,Søndre Allé,residential,30,95.211,"LINESTRING (12.4944099 55.6658444, 12.4957794 55.6662139)",,,,,
20937036,1036708891,0,89384833,False,Hjørnelodden,residential,30,5.693,"LINESTRING (12.4939409 55.6707261, 12.4938516 55.6707353)",,,,,
20937036,20937063,0,89384833,False,Hjørnelodden,residential,30,14.075,"LINESTRING (12.4939409 55.6707261, 12.4941646 55.6707364)",,,,,
20937047,5658931061,0,89384833,False,Hjørnelodden,residential,30,88.283,"LINESTRING (12.493688 55.6708723, 12.4935608 55.671663)",,,,,
20937047,1036708935,0,89384833,False,Hjørnelodden,residential,30,7.327,"LINESTRING (12.493688 55.6708723, 12.493725 55.6708098)",,,,,
20937048,20937052,0,89384833,False,Hjørnelodden,residential,30,30.434,"LINESTRING (12.4951414 55.6707817, 12.4946577 55.6707593)",,,,,
20937048,1036708902,0,89384833,False,Hjørnelodden,residential,30,7.853,"LINESTRING (12.4951414 55.6707817, 12.4952662 55.6707875)",,,,,
20937052,1036708930,0,89384833,False,Hjørnelodden,residential,30,1.995,"LINESTRING (12.4946577 55.6707593, 12.494626 55.6707578)",,,,,
20937052,20937048,0,89384833,False,Hjørnelodden,residential,30,30.434,"LINESTRING (12.4946577 55.6707593, 12.4951414 55.6707817)",,,,,
20937060,1036708902,0,89384833,False,Hjørnelodden,residential,30,35.96,"LINESTRING (12.4958379 55.6708128, 12.4952662 55.6707875)",,,,,
20937063,20937036,0,89384833,False,Hjørnelodden,residential,30,14.075,"LINESTRING (12.4941646 55.6707364, 12.4939409 55.6707261)",,,,,
20937063,1036708930,0,89384833,False,Hjørnelodden,residential,30,29.031,"LINESTRING (12.4941646 55.6707364, 12.494626 55.6707578)",,,,,
20937072,5658931061,0,89384833,False,Hjørnelodden,residential,30,62.938,"LINESTRING (12.4934702 55.6722267, 12.4935608 55.671663)",,,,,
20942672,6070392318,0,3994767,False,Maribovej,residential,30,43.904,"LINESTRING (12.4874813 55.6679206, 12.4880583 55.667697)",,,,,
20942675,20942715,0,8131150,False,Nakskovvej,residential,30,47.464,"LINESTRING (12.493001 55.6679047, 12.492247 55.6679417)",,,,,
20942675,20942676,0,214776230,False,Nakskovvej,residential,30,25.624,"LINESTRING (12.493001 55.6679047, 12.4929788 55.6676746)",,,,,
20942675,1044218011,0,214776230,False,Nakskovvej,residential,30,30.288,"LINESTRING (12.493001 55.6679047, 12.4929888 55.668177)",,,,,
20942676,345658492,0,214776230,False,Nakskovvej,residential,30,28.807,"LINESTRING (12.4929788 55.6676746, 12.4929018 55.6674192)",,,,,
20942676,20942675,0,214776230,False,Nakskovvej,residential,30,25.624,"LINESTRING (12.4929788 55.6676746, 12.493001 55.6679047)",,,,,
20942677,20942716,0,8131149,False,Nakskovvej,residential,30,47.111,"LINESTRING (12.492654 55.6669849, 12.4919472 55.6671284)",,,,,
20942677,1035997364,0,214776230,False,Nakskovvej,residential,30,26.972,"LINESTRING (12.492654 55.6669849, 12.4924978 55.6667589)",,,,,
20942677,1035997094,0,214776230,False,Nakskovvej,residential,30,23.439,"LINESTRING (12.492654 55.6669849, 12.4927757 55.6671842)",,,,,
20942678,1044218012,0,214776230,False,Nakskovvej,residential,30,6.457,"LINESTRING (12.4923437 55.6665704, 12.4922935 55.6665197)",,,,,
20942678,1035997364,0,214776230,False,Nakskovvej,residential,30,23.081,"LINESTRING (12.4923437 55.6665704, 12.4924978 55.6667589)",,,,,
20942679,1035997196,0,3994767,False,Maribovej,residential,30,49.264,"LINESTRING (12.4918582 55.6661415, 12.4924978 55.6658843)",,,,,
20942679,1044218000,0,3994767,False,Maribovej,residential,30,33.502,"LINESTRING (12.4918582 55.6661415, 12.4914289 55.6663208)",,,,,
20942679,1035997244,0,214776230,False,Nakskovvej,residential,30,24.659,"LINESTRING (12.4918582 55.6661415, 12.4916232 55.6659637)",,,,,
20942679,1035997086,0,214776230,False,Nakskovvej,residential,30,31.442,"LINESTRING (12.4918582 55.6661415, 12.4921476 55.6663724)",,,,,
20942680,1035997026,0,214776230,False,Nakskovvej,residential,30,20.32,"LINESTRING (12.4913128 55.6657538, 12.4910763 55.6656289)",,,,,
20942680,1035997244,0,214776230,False,Nakskovvej,residential,30,30.393,"LINESTRING (12.4913128 55.6657538, 12.4916232 55.6659637)",,,,,
20942681,1035997128,0,214776230,False,Nakskovvej,residential,30,19.367,"LINESTRING (12.4897512 55.6651185, 12.489471 55.6650453)",,,,,
20942681,1035997131,0,214776230,False,Nakskovvej,residential,30,22.826,"LINESTRING (12.4897512 55.6651185, 12.4900783 55.6652085)",,,,,
20942682,6333705761,0,214776230,False,Nakskovvej,residential,30,25.487,"LINESTRING (12.4882675 55.6648933, 12.4878633 55.6648696)",,,,,
20942682,1527964368,0,214776230,False,Nakskovvej,residential,30,13.182,"LINESTRING (12.4882675 55.6648933, 12.4884746 55.6649135)",,,,,
20942683,6333705760,0,214776230,False,Nakskovvej,residential,30,42.064,"LINESTRING (12.4870084 55.6648196, 12.4863396 55.6647912)",,,,,
20942683,6333705761,0,214776230,False,Nakskovvej,residential,30,53.905,"LINESTRING (12.4870084 55.6648196, 12.4878633 55.6648696)",,,,,
20942683,1035997154,0,495535948,False,Nystedvej,residential,30,56.0,"LINESTRING (12.4870084 55.6648196, 12.4870624 55.6653223)",,,,,
20942684,6333705759,0,3994773,False,Hansstedvej,residential,30,45.207,"LINESTRING (12.4858765 55.6647715, 12.4852802 55.6649999)",,,,,
20942684,20942686,0,3994774,False,Sakskøbingvej,residential,30,80.552,"LINESTRING (12.4858765 55.6647715, 12.4859296 55.6654953)",,,,,
20942684,1035997012,0,214776230,False,Nakskovvej,residential,30,61.444,"LINESTRING (12.4858765 55.6647715, 12.4848971 55.6647582)",,,,,
20942684,6333705760,0,214776230,False,Nakskovvej,residential,30,29.127,"LINESTRING (12.4858765 55.6647715, 12.4863396 55.6647912)",,,,,
20942685,1035997012,0,214776230,False,Nakskovvej,residential,30,61.34,"LINESTRING (12.4839191 55.6647628, 12.4848971 55.6647582)",,,,,
20942686,20942684,0,3994774,False,Sakskøbingvej,residential,30,80.552,"LINESTRING (12.4859296 55.6654953, 12.4858765 55.6647715)",,,,,
20942687,6070392338,0,3994772,False,Rødbyvej,residential,30,33.647,"LINESTRING (12.4869918 55.6665282, 12.4865612 55.6667087)",,,,,
20942687,4420835203,0,3994772,False,Rødbyvej,residential,30,17.84,"LINESTRING (12.4869918 55.6665282, 12.4871855 55.6664107)",,,,,
20942687,20942708,0,8131152,False,Bandholmvej,residential,30,28.397,"LINESTRING (12.4869918 55.6665282, 12.4874408 55.6665612)",,,,,
20942688,20942708,0,3994771,False,Bandholmvej,residential,30,28.621,"LINESTRING (12.487354 55.6663085, 12.4874408 55.6665612)",,,,,
20942688,4420835203,0,3994772,False,Rødbyvej,residential,30,15.518,"LINESTRING (12.487354 55.6663085, 12.4871855 55.6664107)",,,,,
20942688,6070392332,0,3994772,False,Rødbyvej,residential,30,5.518,"LINESTRING (12.487354 55.6663085, 12.4874025 55.6662671)",,,,,
