u,v,key,osmid,name,highway,maxspeed,oneway,length,geometry,bridge,width,access,tunnel,junction,lanes,est_width,service,ref,area,landuse
1979408143,1593957169,0,146128057,,cycleway,,True,115.503,"LINESTRING (4.8243704 52.3561115, 4.8247301 52.3561168, 4.8252157 52.356108, 4.8260707 52.3561176)",,2.30,,,,,,,,,
1979667827,1979667831,0,165329356,,cycleway,,False,270.05199999999996,"LINESTRING (4.9355123 52.3137052, 4.9368537 52.314172, 4.9373947 52.3143562, 4.9374778 52.3144246, 4.9375469 52.3144558, 4.9388805 52.3149034, 4.9389435 52.3149073)",,3,,,,,,,,,
1979667831,1979667827,0,165329356,,cycleway,,False,270.052,"LINESTRING (4.9389435 52.3149073, 4.9388805 52.3149034, 4.9375469 52.3144558, 4.9374778 52.3144246, 4.9373947 52.3143562, 4.9368537 52.314172, 4.9355123 52.3137052)",,3,,,,,,,,,
1979681870,46088662,0,187233579,,cycleway,,False,8.557,"LINESTRING (4.942808 52.3013927, 4.9428769 52.3013283)",,,,,,,,,,,
1979681870,174049989,0,"[16813963, 114937549]",,cycleway,,False,145.155,"LINESTRING (4.942808 52.3013927, 4.9433328 52.3015683, 4.9437715 52.3017461, 4.944565 52.3020941, 4.9445928 52.3021058)",,3.00,,,,,,,,,
1979681870,46086763,0,16813963,,cycleway,,False,128.01299999999998,"LINESTRING (4.942808 52.3013927, 4.9417729 52.3010463, 4.9414893 52.300982, 4.9413617 52.3009384, 4.9412892 52.300915, 4.9411327 52.3008713)",,,,,,,,,,,
1984393207,46332925,0,187800734,,cycleway,,False,14.051,"LINESTRING (4.861883 52.3593705, 4.86185 52.3594173, 4.8618436 52.3594273, 4.8618359 52.3594391, 4.8618233 52.3594905)",,,,,,,,,,,
1984419974,3294984680,0,322726104,,cycleway,,False,7.177,"LINESTRING (4.8165554 52.3711739, 4.8166483 52.3711431)",,,,,,,,,,,
1984419974,4799116224,0,148822275,,cycleway,,False,68.453,"LINESTRING (4.8165554 52.3711739, 4.8163228 52.3709336, 4.8160528 52.3706775, 4.8160247 52.3706506)",,2.00,,,,,,,,,
1984419974,543723408,0,148822275,,cycleway,,False,127.64099999999999,"LINESTRING (4.8165554 52.3711739, 4.8168791 52.3715619, 4.817115 52.3718832, 4.8171555 52.3719921, 4.8171731 52.3720858, 4.8172647 52.3722297)",,2.00,,,,,,,,,
1984419974,1766461048,0,"[322726102, 322726103]",President Allendelaan,cycleway,,False,19.678,"LINESTRING (4.8165554 52.3711739, 4.8164921 52.3712025, 4.8163203 52.3712774)",,2.00,,,,,,,,,
1984429764,1984429765,0,187805297,,cycleway,,False,9.921,"LINESTRING (4.8515703 52.3861073, 4.8515626 52.3860182)",,,,,,,,,,,
1984429765,1984429764,0,187805297,,cycleway,,False,9.921,"LINESTRING (4.8515626 52.3860182, 4.8515703 52.3861073)",,,,,,,,,,,
1989671361,285508379,0,26087225,,cycleway,,False,152.14399999999998,"LINESTRING (4.9449735 52.3985726, 4.9449425 52.3985329, 4.9437891 52.3974111)",,,,,,,,,,,
1989709413,1258539789,0,"[188341818, 696156514, 188341812, 188341741]",Het Breed,cycleway,,False,189.41500000000002,"LINESTRING (4.9369657 52.3959561, 4.937789 52.3956235, 4.9381296 52.3954239, 4.9384086 52.3951571, 4.9386193 52.3948842, 4.9387437 52.3947331, 4.9387549 52.3947085)",yes,3,,,,,,,,,
1990848953,4407814879,0,443152336,Osdorpplein,cycleway,,True,14.182,"LINESTRING (4.808255 52.3583771, 4.8083386 52.3583939, 4.8084534 52.3584169)",,,,,,,,,,,
1993453012,1993453048,0,"[119892941, 118021791]",,cycleway,,True,14.593,"LINESTRING (4.8466842 52.3818666, 4.8466877 52.3818429, 4.8466901 52.3818128, 4.8466911 52.3817355)",,2.00,,,,,,,,,
1993453012,1328322804,0,188745979,,cycleway,,True,62.016999999999996,"LINESTRING (4.8466842 52.3818666, 4.8459057 52.3818528, 4.8457722 52.381841)",,,,,,,,,,,
1993453028,1993453039,0,188724793,,cycleway,,True,53.065,"LINESTRING (4.8511956 52.3825069, 4.8507173 52.3821294)",,,,,,,,,,,
1993453028,1993453065,0,188724819,,cycleway,,True,12.953,"LINESTRING (4.8511956 52.3825069, 4.8512837 52.3824687, 4.8513629 52.382454)",,,,,,,,,,,
1993453039,46436643,0,188746955,,cycleway,,False,8.926,"LINESTRING (4.8507173 52.3821294, 4.8508238 52.3820823)",,,,,,,,,,,
1993453039,1993453042,0,"[188724793, 188745979]",,cycleway,,True,125.75500000000001,"LINESTRING (4.8507173 52.3821294, 4.8506447 52.3820761, 4.8504678 52.382009, 4.8502627 52.3819643, 4.8501296 52.3819404, 4.8499376 52.3819243, 4.8497631 52.3819164, 4.8491509 52.3819065, 4.8489582 52.3819155)",,,,,,,,,,,
